delay,burst,onoff,constant,time,
0.25,0.1,0.175,0.275,10,
0.4,0.525,0.35,0.85,20,
0.45,0.425,0.575,0.925,30,
0.575,0.525,0.575,0.975,40,
0.7,0.4,0.375,0.6,50,
0.7,0.525,0.525,0.85,60,
0.8,0.65,0.625,0.625,70,
0.75,0.6,0.475,0.925,80,
0.9,0.6,0.625,1.0,90,
0.9,0.675,0.675,0.925,100,
