delay,burst,onoff,constant,time,
0.45,0.45,0.325,1.0,10,
0.6,0.25,0.175,0.7,20,
0.475,0.275,0.225,0.0,30,
0.475,0.35,0.2,0.025,40,
0.5,0.225,0.275,0.725,50,
0.2,0.3,0.25,0.0,60,
0.225,0.25,0.225,0.0,70,
0.25,0.3,0.2,0.425,80,
0.225,0.15,0.25,0.45,90,
0.475,0.175,0.15,0.475,100,
