delay,burst,onoff,constant,number of senders,
0.6,0.675,0.7,0.825,10,
0.425,0.6,0.7,0.725,20,
0.35,0.7,0.85,0.8,30,
0.275,0.575,0.75,0.775,40,
0.375,0.575,0.775,0.775,50,
0.45,0.6,0.6,0.6,60,
0.475,0.6,0.625,0.65,70,
0.525,0.475,0.575,0.6,80,
0.425,0.5,0.65,0.7,90,
0.375,0.55,0.525,0.75,100,
