delay,burst,onoff,constant,number of senders,
0.8,0.75,0.675,0.975,10,
0.775,0.55,0.575,1.0,20,
0.7,0.625,0.6,0.925,30,
0.675,0.65,0.6,0.975,40,
0.65,0.6,0.475,0.95,50,
0.725,0.65,0.5,1.0,60,
0.575,0.5,0.575,0.975,70,
0.550,0.5,0.475,0.95,80,
0.4,0.6,0.375,0.975,90,
0.5,0.5,0.7,1.0,100,
