0.75,0.45,0.35,0.0,50,
0.8,0.55,0.45,0.0,100,
0.85,0.8,0.65,0.0,150,
0.85,0.7,0.75,0.0,200,
0.9,0.65,0.75,0.0,250,
1.0,0.9,0.55,0.0,300,
0.9,0.85,0.75,0.0,
0.95,0.85,0.85,0.0,
0.95,0.65,0.6,0.0,
0.95,0.7,0.8,0.0,
0.95,0.85,0.8,0.0,
0.85,0.9,0.8,0.0,
0.95,0.9,0.75,0.0,
0.9,1.0,0.8,0.0,
1.0,1.0,1.0,0.0,
1.0,1.0,1.0,0.0,
1.0,0.0,0.0,0.0,
1.0,0.0,0.0,0.0,
1.0,1.0,0.0,0.0,
1.0,1.0,1.0,0.0,
1.0,0.0,0.0,0.0,
1.0,0.0,0.0,0.0,
1.0,0.5,0.0,0.0,
1.0,1.0,0.5,0.0,
1.0,0.0,0.0,0.0,
1.0,0.0,0.0,0.0,
1.0,1.0,0.0,0.0,
1.0,1.0,0.5,0.0,
1.0,1.0,1.0,0.0,
1.0,1.0,1.0,0.0,
1.0,1.0,1.0,0.0,
1.0,1.0,1.0,0.0,
1.0,1.0,1.0,0.0,
1.0,1.0,1.0,0.0,
1.0,1.0,1.0,0.0,
1.0,0.0,0.0,0.0,
1.0,1.0,1.0,0.0,
1.0,1.0,1.0,0.0,
1.0,1.0,1.0,0.0,
1.0,1.0,1.0,0.0,
0.65,0.85,0.75,0.0,
0.8,0.95,0.95,0.0,
0.75,1.0,0.75,0.0,
1.0,1.0,1.0,0.0,
1.0,1.0,1.0,0.0,
1.0,1.0,1.0,0.0,
1.0,1.0,1.0,0.0,
1.0,1.0,1.0,0.0,
